,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
354,Rebecca Hall(I),Rebecca Hall,5/3/82,"London, England, UK","['Vicky Cristina Barcelona', 'The Town', 'The Prestige', 'Christine']",11,28,https://www.imdb.com/name/nm0356017/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0356017/awards?ref_=nm_ql_2
355,Salma Hayek,Salma Hayek,9/2/66,"Coatzacoalcos, Veracruz, Mexico","['Frida', 'Desperado', 'Wild Wild West', 'Savages']",17,43,https://www.imdb.com/name/nm0000161/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000161/awards?ref_=nm_ql_2
356,Garrett Hedlund,Garrett Hedlund,9/3/84,"Roseau, Minnesota, USA","['Tron', 'Mudbound', 'On the Road', 'Four Brothers']",4,7,https://www.imdb.com/name/nm1330560/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1330560/awards?ref_=nm_ql_2
357,Rose Byrne,Rose Byrne,7/24/79,"Balmain, Sydney, New South Wales, Australia","['Spy', 'Insidious', 'Bridesmaids', 'Neighbors']",13,28,https://www.imdb.com/name/nm0126284/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0126284/awards?ref_=nm_ql_2
358,Alan Tudyk,Alan Tudyk,3/16/71,"El Paso, Texas, USA","['Rogue One', 'Firefly', 'I, Robot', ""A Knight's Tale""]",10,15,https://www.imdb.com/name/nm0876138/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0876138/awards?ref_=nm_ql_2
359,Christian Bale,Christian Bale,1/30/74,"Haverfordwest, Pembrokeshire, Wales, UK","['The Dark Knight', 'Batman Begins', 'American Hustle', 'Vice']",75,114,https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000288/awards?ref_=nm_ql_2
360,Christina Aguilera(I),Christina Aguilera,12/18/80,"Staten Island, New York City, New York, USA","['The Voice', 'Burlesque', 'Moulin Rouge!', 'The Emoji Movie']",30,91,https://www.imdb.com/name/nm0004694/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004694/awards?ref_=nm_ql_2
361,Liam Neeson,Liam Neeson,6/7/52,"Ballymena, Co. Antrim, Northern Ireland, UK","['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']",22,42,https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000553/awards?ref_=nm_ql_2
362,Kevin McKidd,Kevin McKidd,8/9/73,"Elgin, Moray, Scotland, UK","['Dog Soldiers', 'Trainspotting', 'Kingdom of Heaven', ""Grey's Anatomy""]",3,5,https://www.imdb.com/name/nm0571727/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0571727/awards?ref_=nm_ql_2
363,Geoffrey Rush(I),Geoffrey Rush,7/6/51,"Toowoomba, Queensland, Australia","[""The King's Speech"", 'Shakespeare in Love', 'Quills', 'Pirates of the Caribbean: The Curse of the Black Pearl']",46,78,https://www.imdb.com/name/nm0001691/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001691/awards?ref_=nm_ql_2
364,Nicola Peltz,Nicola Peltz,1/9/95,"Westchester County, New York, USA","['Transformers: Age of Extinction', 'The Last Airbender', 'Back Roads', 'Bates Motel']",1,4,https://www.imdb.com/name/nm2443758/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2443758/awards?ref_=nm_ql_2
365,Jerry O'Connell,Jerry O'Connell,2/17/74,"New York City, New York, USA","['Stand by Me', 'Kangaroo Jack', 'Sliders', 'Mission to Mars']",1,2,https://www.imdb.com/name/nm0005278/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005278/awards?ref_=nm_ql_2
366,Amber Tamblyn,Amber Tamblyn,5/14/83,"Santa Monica, California, USA","['The Sisterhood of the Traveling Pants', 'Joan of Arcadia', '127 Hours', 'The Grudge 2']",5,16,https://www.imdb.com/name/nm0848554/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0848554/awards?ref_=nm_ql_2
367,Alice Eve,Alice Eve,2/6/82,"London, England, UK","['Before We Go', ""She's Out of My League"", 'Star Trek Into Darkness', 'Men in Black 3']",NA,NA,https://www.imdb.com/name/nm1404408/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1404408/awards?ref_=nm_ql_2
368,Zach Galifianakis,Zach Galifianakis,10/1/69,"Wilkesboro, North Carolina, USA","['The Hangover', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Due Date', 'The Hangover Part III']",22,35,https://www.imdb.com/name/nm0302108/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0302108/awards?ref_=nm_ql_2
369,Laurence Fishburne,Laurence Fishburne,7/30/61,"Augusta, Georgia, USA","['The Matrix', 'The Matrix Reloaded', 'Contagion', 'Mystic River']",24,68,https://www.imdb.com/name/nm0000401/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000401/awards?ref_=nm_ql_2
370,Rob Corddry,Rob Corddry,2/4/71,"Weymouth, Massachusetts, USA","['Warm Bodies', 'Hot Tub Time Machine 2', 'Childrens Hospital', 'Hot Tub Time Machine']",5,7,https://www.imdb.com/name/nm1117791/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1117791/awards?ref_=nm_ql_2
371,José Luis García Pérez,José Luis García Pérez,1972-0-0,NA,"['Buried', 'Holmes & Watson. Madrid Days', 'Parenthesis', 'Cachorro']",2,5,https://www.imdb.com/name/nm0305825/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0305825/awards?ref_=nm_ql_2
372,Jeff Branson(I),Jeff Branson,3/10/77,"St. Louis, Missouri, USA","['Supergirl', 'Supernatural', 'I Spit on Your Grave', 'Major Crimes']",1,2,https://www.imdb.com/name/nm0105226/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0105226/awards?ref_=nm_ql_2
373,Rooney Mara,Rooney Mara,4/17/85,"Bedford, New York, USA","['Carol', 'The Girl with the Dragon Tattoo', 'The Social Network', 'Side Effects']",27,66,https://www.imdb.com/name/nm1913734/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1913734/awards?ref_=nm_ql_2
374,Matthew Goode(I),Matthew Goode,4/3/78,"Exeter, Devon, England, UK","['Stoker', 'The Imitation Game', 'Watchmen', 'Chasing Liberty']",2,16,https://www.imdb.com/name/nm0328828/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0328828/awards?ref_=nm_ql_2
375,Antony Langdon(I),Antony Langdon,5/14/68,"Leeds, Yorkshire, England, UK","['Velvet Goldmine', ""I'm Still Here"", ""Occident's March"", 'The Truth About Emanuel']",NA,NA,https://www.imdb.com/name/nm0486018/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0486018/awards?ref_=nm_ql_2
376,Helen Mirren(I),Helen Mirren,7/26/45,"Hammersmith, London, England, UK","['RED', 'The Queen', 'Hitchcock', 'Gosford Park']",124,125,https://www.imdb.com/name/nm0000545/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000545/awards?ref_=nm_ql_2
377,Gemma Arterton,Gemma Arterton,2/2/86,"Gravesend, Kent, England, UK","['Prince of Persia: The Sands of Time', 'Quantum of Solace', 'Clash of the Titans', 'The Voices']",2,9,https://www.imdb.com/name/nm2605345/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2605345/awards?ref_=nm_ql_2
378,Jaden Smith(I),Jaden Smith,7/8/98,"Malibu, California, USA","['The Karate Kid', 'After Earth', 'The Pursuit of Happyness', 'The Day the Earth Stood Still']",8,20,https://www.imdb.com/name/nm1535523/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1535523/awards?ref_=nm_ql_2
379,Maggie Gyllenhaal,Maggie Gyllenhaal,11/16/77,"Lower East Side, Manhattan, New York City, New York, USA","['Secretary', 'The Dark Knight', 'Crazy Heart', 'Frank']",21,43,https://www.imdb.com/name/nm0350454/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0350454/awards?ref_=nm_ql_2
380,Russell Brand,Russell Brand,6/4/75,"Grays, Essex, England, UK","['Arthur', 'Forgetting Sarah Marshall', 'Get Him to the Greek', 'Rock of Ages']",5,12,https://www.imdb.com/name/nm1258970/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1258970/awards?ref_=nm_ql_2
381,John Hawkes(I),John Hawkes,9/11/59,"Alexandria, Minnesota, USA","[""Winter's Bone"", 'The Sessions', 'Martha Marcy May Marlene', 'Three Billboards Outside Ebbing, Missouri']",17,60,https://www.imdb.com/name/nm0370035/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0370035/awards?ref_=nm_ql_2
382,Jonah Hill,Jonah Hill,12/20/83,"Los Angeles, California, USA","['21 Jump Street', '22 Jump Street', 'The Wolf of Wall Street', 'Moneyball']",7,61,https://www.imdb.com/name/nm1706767/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1706767/awards?ref_=nm_ql_2
383,Callan McAuliffe,Callan McAuliffe,NA,NA,"['Flipped', 'I Am Number Four', 'The Great Gatsby', 'Kite']",1,0,https://www.imdb.com/name/nm2786608/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2786608/awards?ref_=nm_ql_2
384,Javier Bardem,Javier Bardem,3/1/69,"Las Palmas de Gran Canaria, Gran Canaria, Canary Islands, Spain","['Skyfall', 'No Country for Old Men', 'The Sea Inside', 'Vicky Cristina Barcelona']",102,85,https://www.imdb.com/name/nm0000849/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000849/awards?ref_=nm_ql_2
385,Michelle Rodriguez(I),Michelle Rodriguez,7/12/78,"San Antonio, Texas, USA","['Furious 7', 'Furious 6', 'S.W.A.T.', 'The Fate of the Furious']",10,29,https://www.imdb.com/name/nm0735442/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0735442/awards?ref_=nm_ql_2
386,Robert Capron,Robert Capron,7/9/98,"Providence, Rhode Island, USA","['Diary of a Wimpy Kid', 'The Polka King', 'Elementary', 'Frankenweenie']",3,2,https://www.imdb.com/name/nm2953573/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2953573/awards?ref_=nm_ql_2
387,Carey Mulligan,Carey Mulligan,5/28/85,"Westminster, London, England, UK","['Never Let Me Go', 'An Education', 'Shame', 'Suffragette']",43,76,https://www.imdb.com/name/nm1659547/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1659547/awards?ref_=nm_ql_2
388,Gyton Grantley,Gyton Grantley,1980-7-0,NA,NA,2,1,https://www.imdb.com/name/nm1189489/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1189489/awards?ref_=nm_ql_2
389,Jay Baruchel,Jay Baruchel,4/9/82,"Ottawa, Ontario, Canada","['Goon', 'This Is the End', 'How to Train Your Dragon', 'How to Train Your Dragon 2']",4,11,https://www.imdb.com/name/nm0059431/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0059431/awards?ref_=nm_ql_2
357,Paolo Bonacelli,Paolo Bonacelli,2/28/37,"Rome, Lazio, Italy","['Salò, or the 120 Days of Sodom', 'The American', 'Caligula', 'Mission: Impossible III']",4,1,https://www.imdb.com/name/nm0093678/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0093678/awards?ref_=nm_ql_2
358,Angelina Jolie,Angelina Jolie,6/4/75,"Los Angeles, California, USA","['Maleficent', 'Girl, Interrupted', 'Changeling', 'Salt']",56,111,https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001401/awards?ref_=nm_ql_2
359,Selena Gomez,Selena Gomez,7/22/92,"Grand Prairie, Texas, USA","['Spring Breakers', 'Monte Carlo', 'Hotel Transylvania', 'Getaway']",41,45,https://www.imdb.com/name/nm1411125/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1411125/awards?ref_=nm_ql_2
360,Chloë Grace Moretz,Chloë Grace Moretz,2/10/97,"Atlanta, Georgia, USA","['Let Me In', 'Kick-Ass', 'The 5th Wave', 'Carrie']",28,41,https://www.imdb.com/name/nm1631269/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1631269/awards?ref_=nm_ql_2
361,Tina Fey,Tina Fey,5/18/70,"Upper Darby, Pennsylvania, USA","['30 Rock', 'Date Night', 'Mean Girls', 'Sisters']",49,129,https://www.imdb.com/name/nm0275486/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0275486/awards?ref_=nm_ql_2
362,Emilie de Ravin,Emilie de Ravin,12/27/81,"Mount Eliza, Victoria, Australia","['Remember Me', 'Brick', 'The Hills Have Eyes', 'Lost']",2,6,https://www.imdb.com/name/nm0211087/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0211087/awards?ref_=nm_ql_2
363,Min-sik Choi,Min-sik Choi,1/22/62,"Seoul, South Korea","['Oldeuboi', 'I Saw the Devil', 'Failan', 'Lucy']",21,12,https://www.imdb.com/name/nm0158856/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0158856/awards?ref_=nm_ql_2
364,Ed Harris(I),Ed Harris,11/28/50,"Tenafly, New Jersey, USA","['The Truman Show', 'Pollock', 'The Hours', 'Appaloosa']",28,51,https://www.imdb.com/name/nm0000438/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000438/awards?ref_=nm_ql_2
365,Liam Hemsworth,Liam Hemsworth,1/13/90,"Melbourne, Victoria, Australia","['The Hunger Games', 'The Hunger Games: Mockingjay - Part 1', 'The Hunger Games: Catching Fire', 'Independence Day: Resurgence']",6,16,https://www.imdb.com/name/nm2955013/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2955013/awards?ref_=nm_ql_2
366,Josh Duhamel,Josh Duhamel,11/14/72,"Minot, North Dakota, USA","['Transformers', 'Transformers: The Last Knight', 'Safe Haven', 'When in Rome']",3,17,https://www.imdb.com/name/nm0241049/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0241049/awards?ref_=nm_ql_2
367,Anthony Hopkins(I),Anthony Hopkins,12/31/37,"Margam, Port Talbot, West Glamorgan, Wales, UK","['The Silence of the Lambs', 'Hitchcock', ""The World's Fastest Indian"", 'Hannibal']",51,63,https://www.imdb.com/name/nm0000164/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000164/awards?ref_=nm_ql_2
368,Nipsey Hussle(1985_2019),Nipsey Hussle,8/15/85,"Los Angeles, California, USA","['Grand Theft Auto V', 'Love Chronicles: Secrets Revealed', 'Caged Animal', 'Crazy Ex-Girlfriend']",0,1,https://www.imdb.com/name/nm2596169/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2596169/awards?ref_=nm_ql_2
369,Cameron Diaz,Cameron Diaz,8/30/72,"San Diego, California, USA","[""There's Something About Mary"", 'Vanilla Sky', ""Charlie's Angels"", ""My Best Friend's Wedding""]",29,83,https://www.imdb.com/name/nm0000139/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000139/awards?ref_=nm_ql_2
370,Hayden Christensen,Hayden Christensen,4/19/81,"Vancouver, British Columbia, Canada","['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode II - Attack of the Clones', 'Jumper', 'Shattered Glass']",9,19,https://www.imdb.com/name/nm0159789/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0159789/awards?ref_=nm_ql_2
371,Emilio Estevez,Emilio Estevez,5/12/62,"New York City, New York, USA","['The Way', 'Bobby', 'The Public', 'The Breakfast Club']",4,11,https://www.imdb.com/name/nm0000389/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000389/awards?ref_=nm_ql_2
372,Timothy Olyphant,Timothy Olyphant,5/20/68,"Honolulu, Hawaii, USA","['Justified', 'The Crazies', 'A Perfect Getaway', 'Hitman']",3,21,https://www.imdb.com/name/nm0648249/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0648249/awards?ref_=nm_ql_2
373,Ellen Page,Ellen Page,2/21/87,"Halifax, Nova Scotia, Canada","['Juno', 'Inception', 'Hard Candy', 'X-Men: Days of Future Past']",43,66,https://www.imdb.com/name/nm0680983/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0680983/awards?ref_=nm_ql_2
374,Ali Larter,Ali Larter,2/28/76,"Cherry Hill, New Jersey, USA","['Final Destination', 'Obsessed', 'Legally Blonde', 'Resident Evil: Afterlife']",4,5,https://www.imdb.com/name/nm0005123/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005123/awards?ref_=nm_ql_2
375,Forest Whitaker,Forest Whitaker,7/15/61,"Longview, Texas, USA","['The Last King of Scotland', 'The Butler', 'Battlefield Earth', 'Black Panther']",58,56,https://www.imdb.com/name/nm0001845/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001845/awards?ref_=nm_ql_2
376,Alex O'Loughlin,Alex O'Loughlin,8/24/76,"Canberra, Australian Capital Territory, Australia","['Hawaii Five-0', 'Whiteout', 'August Rush', 'The Back-up Plan']",1,2,https://www.imdb.com/name/nm1533927/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1533927/awards?ref_=nm_ql_2
377,Martin Lawrence(I),Martin Lawrence,4/16/65,"Frankfurt am Main, Hesse, Germany","['Martin', 'Bad Boys II', 'Bad Boys', ""Big Momma's House""]",5,11,https://www.imdb.com/name/nm0001454/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001454/awards?ref_=nm_ql_2
378,Billy Bob Thornton,Billy Bob Thornton,8/4/55,"Hot Springs, Arkansas, USA","['Sling Blade', ""The Man Who Wasn't There"", 'A Simple Plan', 'Armageddon']",32,55,https://www.imdb.com/name/nm0000671/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000671/awards?ref_=nm_ql_2
379,Robert Stoltenberg,Robert Stoltenberg,4/17/65,Norway,"['Trollhunter', 'Borettslaget', 'Julekongen', 'Narvestad tar ferie']",1,0,https://www.imdb.com/name/nm0293804/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0293804/awards?ref_=nm_ql_2
380,Hugo Weaving,Hugo Weaving,4/4/60,"Ibadan, Nigeria","['The Lord of the Rings: The Return of the King', 'V for Vendetta', 'The Lord of the Rings: The Fellowship of the Ring', 'The Matrix']",29,29,https://www.imdb.com/name/nm0915989/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0915989/awards?ref_=nm_ql_2
381,Viola Davis(I),Viola Davis,8/11/65,"Saint Matthews, South Carolina, USA","['Fences', 'The Help', 'Widows', 'Suicide Squad']",87,124,https://www.imdb.com/name/nm0205626/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0205626/awards?ref_=nm_ql_2
382,Blake Lively,Blake Lively,8/25/87,"Tarzana, Los Angeles, California, USA","['Gossip Girl', 'The Age of Adaline', 'The Town', 'The Shallows']",8,21,https://www.imdb.com/name/nm0515116/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0515116/awards?ref_=nm_ql_2
383,Omar Sy,Omar Sy,1/20/78,"Trappes, Yvelines, France","['The Intouchables', 'Jurassic World', 'X-Men: Days of Future Past', 'Transformers: The Last Knight']",8,7,https://www.imdb.com/name/nm1082477/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1082477/awards?ref_=nm_ql_2
384,Maya Rudolph,Maya Rudolph,7/27/72,"Gainesville, Florida, USA","['Bridesmaids', 'Away We Go', 'The Way Way Back', 'Inherent Vice']",5,37,https://www.imdb.com/name/nm0748973/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0748973/awards?ref_=nm_ql_2
385,Vanessa Hudgens,Vanessa Hudgens,12/14/88,"Salinas, California, USA","['High School Musical 3: Senior Year', 'Beastly', 'Spring Breakers', 'Journey 2: The Mysterious Island']",5,19,https://www.imdb.com/name/nm1227814/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1227814/awards?ref_=nm_ql_2
386,Ryan Gosling,Ryan Gosling,11/12/80,"London, Ontario, Canada","['Blue Valentine', 'La La Land', 'The Notebook', 'Drive']",34,146,https://www.imdb.com/name/nm0331516/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0331516/awards?ref_=nm_ql_2
387,Chris Hemsworth,Chris Hemsworth,8/11/83,"Melbourne, Victoria, Australia","['The Avengers', 'Thor: Ragnarok', 'Thor', 'Snow White and the Huntsman']",12,34,https://www.imdb.com/name/nm1165110/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1165110/awards?ref_=nm_ql_2
388,William Mapother,William Mapother,4/17/65,"Louisville, Kentucky, USA","['Lost', 'In the Bedroom', 'Another Earth', 'The Mentalist']",0,2,https://www.imdb.com/name/nm0544611/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0544611/awards?ref_=nm_ql_2
389,Jeremy Renner,Jeremy Renner,1/7/71,"Modesto, California, USA","['The Hurt Locker', 'The Town', 'The Avengers', 'Wind River']",34,59,https://www.imdb.com/name/nm0719637/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0719637/awards?ref_=nm_ql_2
390,Nick Nolte,Nick Nolte,2/8/41,"Omaha, Nebraska, USA","['Warrior', 'Affliction', 'The Prince of Tides', '48 Hrs.']",12,37,https://www.imdb.com/name/nm0000560/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000560/awards?ref_=nm_ql_2
391,Rachael Blake,Rachael Blake,5/26/71,"Perth, Western Australia, Australia","['Lantana', 'Sleeping Beauty', 'Gods of Egypt', 'Wildside']",8,7,https://www.imdb.com/name/nm0086697/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0086697/awards?ref_=nm_ql_2
392,Robin Wright(V),Robin Wright,4/8/66,"Dallas, Texas, USA","['Forrest Gump', 'Beowulf', 'Unbreakable', 'The Princess Bride']",14,61,https://www.imdb.com/name/nm0000705/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000705/awards?ref_=nm_ql_2
393,Ron Perlman(I),Ron Perlman,4/13/50,"New York City, New York, USA","['Hand of God', 'Hellboy II: The Golden Army', 'Hellboy', 'Beauty and the Beast']",8,11,https://www.imdb.com/name/nm0000579/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000579/awards?ref_=nm_ql_2
394,Anna Friel,Anna Friel,7/12/76,"Rochdale, Lancashire, England, UK","['Land of the Lost', 'Timeline', 'Goal! The Dream Begins', 'Limitless']",4,8,https://www.imdb.com/name/nm0295484/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0295484/awards?ref_=nm_ql_2
395,Joel Edgerton,Joel Edgerton,6/23/74,"Blacktown, New South Wales, Australia","['The Gift', 'The Great Gatsby', 'Loving', 'Black Mass']",16,56,https://www.imdb.com/name/nm0249291/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0249291/awards?ref_=nm_ql_2
396,Elena Anaya(I),Elena Anaya,7/17/75,"Palencia, Palencia, Castilla y León, Spain","['La piel que habito', 'Wonder Woman', 'Room in Rome', 'Sex and Lucía']",10,17,https://www.imdb.com/name/nm0025745/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0025745/awards?ref_=nm_ql_2
397,Ashton Kutcher,Ashton Kutcher,2/7/78,"Cedar Rapids, Iowa, USA","[""That '70s Show"", ""Dude, Where's My Car?"", 'Just Married', 'A Lot Like Love']",18,40,https://www.imdb.com/name/nm0005110/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005110/awards?ref_=nm_ql_2
398,Justin Timberlake,Justin Timberlake,1/31/81,"Memphis, Tennessee, USA","['Trolls', 'The Social Network', 'In Time', 'Inside Llewyn Davis']",49,104,https://www.imdb.com/name/nm0005493/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005493/awards?ref_=nm_ql_2
399,Matthew Macfadyen,Matthew Macfadyen,10/17/74,"Great Yarmouth, Norfolk, England, UK","['Pride & Prejudice', 'The Three Musketeers', 'Death at a Funeral', 'Frost/Nixon']",5,10,https://www.imdb.com/name/nm0532193/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0532193/awards?ref_=nm_ql_2
